1008,12.24,54.7
1049,11.51,53.1
1089,10.84,51.6
1129,10.21,50.2
1169,9.582,48.8
1210,9.016,47.6
1250,8.5,46.4
1290,8.06,45.2
1331,7.655,44.1
1371,7.282,43
1411,6.937,42
1452,6.598,41
1492,6.27,40.1
1532,5.966,39.1
1573,5.684,38.3
1613,5.423,37.5
1694,4.971,35.9
1774,4.611,34.3
1855,4.292,32.9
1936,4.007,31.7
2016,3.748,30.5
2097,3.507,29.3
2178,3.289,28.2
2258,3.091,27.2
2339,2.912,26.3
2420,2.749,25.4
2500,2.6,24.6
2581,2.471,23.9
2662,2.352,23.1
2742,2.242,22.5
2823,2.141,21.9
2904,2.046,21.3
2984,1.958,20.7
3065,1.876,20.2
3146,1.8,19.7
3226,1.728,19.2
3388,1.598,18.3
3549,1.482,17.5
3710,1.379,16.8
3871,1.287,16.1
4033,1.205,15.5
4194,1.13,14.9
4355,1.063,14.4
4517,1.002,13.9
4678,0.976,13.4
4839,0.896,13
5001,0.85,12.6
