10,17.65,0.311
20,17.97,0.658
30,18.52,1.087
40,19.38,1.675
50,20.65,2.576
60,22.47,4.133
70,24.9,7.233
80,26.59,13.93
90,21,22.91
100,11.4,23.59
110,6.323,20.29
120,3.936,17.32
130,2.665,15.02
140,1.896,13.22
150,1.363,11.71
160,0.93,10.22
170,0.945,7.341
180,2.75,10.69
190,1.323,9.416
200,0.972,8.595
210,0.787,7.964
220,0.665,7.438
230,0.574,6.98
240,0.503,6.574
250,0.445,6.208
260,0.397,5.875
270,0.356,5.569
280,0.321,5.287
290,0.292,5.024
300,0.264,4.777
310,0.24,3.545
320,0.219,4.325
330,0.201,4.115
340,0.184,3.914
350,0.168,3.72
360,0.154,3.532
370,0.141,3.347
380,0.13,3.165
390,0.119,2.983
400,0.109,2.8
410,0.101,2.61
420,0.094,2.412
430,0.089,2.2
440,0.087,1.965
450,0.09,1.69
460,0.108,1.342
470,0.185,0.82
480,0.847,0.217
490,1.505,0.173
500,2.069,0.208
510,2.669,0.307
520,3.407,0.538
530,4.424,1.169
540,5.333,3.25
550,3.083,5.334
560,1.405,4.653
570,0.831,3.966
580,0.58,3.49
590,0.446,3.143
600,0.364,2.873
610,0.31,2.653
620,0.272,2.465
630,0.243,2.301
640,0.222,2.154
650,0.205,2.02
660,0.191,1.894
670,0.181,1.776
680,0.172,1.664
690,0.166,1.555
700,0.161,1.449
710,0.157,1.345
720,0.155,1.241
730,0.155,1.137
740,0.157,1.03
750,0.161,0.921
760,0.17,0.805
770,0.186,0.681
780,0.215,0.545
790,0.274,0.396
800,0.383,0.263
810,0.512,0.182
820,0.626,0.139
830,0.722,0.112
840,0.805,0.093
850,0.878,0.08
860,0.942,0.069
870,1,0.061
880,1.052,0.054
890,1.1,0.048
900,1.144,0.043
910,1.185,0.039
920,1.223,0.035
930,1.259,0.031
940,1.293,0.028
950,1.323,0.026
960,1.353,0.023
970,0.138,0.021
980,1.407,0.019
990,1.432,0.018
1000,1.455,0.016
