350,2.388,0
375,2.537,0.199
400,2.739,0.397
420,2.912,0.0738
440,2.936,1.29
460,2.308,2.29
470,1.484,2.39
475,1.002,2.22
480,0.7517,1.86
490,0.5777,1.28
500,0.6616,0.822
510,0.8857,0.524
520,1.05,0.415
527,1.161,0.377
540,1.235,0.341
560,1.337,0.298
580,1.401,0.264
600,1.45,0.235
625,1.502,0.202
650,1.555,0.182
675,1.598,0.168
700,1.643,0.157
725,1.698,0.157
750,1.756,0.177
760,1.779,0.192
770,1.81,0.227
780,1.811,0.275
790,1.789,0.314
800,1.753,0.343
810,1.701,0.341
820,1.658,0.323
830,1.615,0.267
840,1.619,0.204
850,1.652,0.152
860,1.69,0.116
880,1.784,0.0775
900,1.869,0.0506
925,2.038,0.046
950,2.224,0.102
975,2.448,0.231
1000,2.694,0.509
1025,2.839,0.962
1050,2.76,1.65
1075,2.25,2.26
1090,1.616,2.63
1100,1.043,2.55
1110,0.5846,2.27
1120,0.3705,1.85
1130,0.3563,1.53
1140,0.3915,1.32
1150,0.4309,1.17
1160,0.4564,1.07
1170,0.4656,0.978
1180,0.4746,0.903
1190,0.473,0.84
1200,0.46,0.77
1210,0.453,0.704
1220,0.4329,0.635
1230,0.402,0.553
1240,0.3931,0.446
1250,0.4113,0.323
1260,0.4677,0.216
1270,0.5456,0.132
1280,0.6232,0.0768
1290,0.7037,0.0474
1300,0.7719,0.0372
